h,famous
2.3876273561171014e-11,0.0
4.311605124665812e-12,1.0
2.2345288766973127e-11,0.0
1.6102172510747818e-11,1.0
1.7111633554969043e-11,0.0
1.4442006926497636e-11,0.0
1.402426380918581e-11,0.0
1.3116462193761981e-11,0.0
1.971153171594342e-11,0.0
1.2776446639954774e-11,0.0
1.2950274436506223e-11,0.0
1.525008289303618e-11,0.0
4.083383355114349e-12,0.0
1.859525277633187e-11,0.0
4.384709828619403e-12,0.0
2.0128731276372423e-11,0.0
1.2563773903415526e-11,0.0
1.5836395329493513e-11,0.0
1.60106299393454e-11,0.0
1.5390969233317496e-11,1.0
1.1988064346516176e-11,0.0
1.5466939644282807e-11,0.0
1.2293464295985586e-11,0.0
1.4146879431446202e-11,0.0
2.231716225464825e-11,0.0
2.132933532669873e-11,0.0
1.6898173829213625e-11,0.0
1.3908673857238792e-11,0.0
2.1180721943244904e-11,0.0
1.668943437281886e-11,0.0
1.616194738352242e-11,1.0
1.963641006886663e-11,0.0
4.687370004989106e-12,0.0
2.12937038800001e-11,0.0
1.5220910869565075e-11,0.0
1.880405739809473e-11,0.0
1.3575299892561983e-11,0.0
2.0659232021981228e-11,0.0
1.3419489230341073e-11,0.0
4.344634163672422e-12,0.0
1.2798518584698296e-11,0.0
1.5040489957302923e-11,0.0
4.228685356678143e-12,0.0
1.2511955760916796e-11,0.0
4.741710854923608e-12,1.0
4.1547643380166664e-12,0.0
1.3553361534993481e-11,0.0
7.271175613408059e-12,0.0
1.5420465224949018e-11,0.0
1.6355074748191616e-11,1.0
2.0795072578186098e-11,1.0
1.6464837846224777e-11,0.0
1.2389022174349586e-11,0.0
1.9337495921583624e-11,0.0
1.597474067160806e-11,0.0
1.440428802981361e-11,0.0
1.8970291494839686e-11,0.0
1.3672921295989106e-11,0.0
1.794805192600038e-11,0.0
4.432214501748761e-12,1.0
1.5056826898850572e-11,0.0
1.273559259155717e-11,0.0
2.062041936625993e-11,0.0
1.69383124672764e-11,0.0
1.3123532736489167e-11,0.0
1.2047867035585578e-11,0.0
1.4232735551627697e-11,0.0
